name	rarity	type	effect	max_fusion_effect	tier
Abyssal Wraith's Nightmare	Rare	Weapon	50% chance to apply Blind at the start of the match when equipped on a starting character and on user's tag out for 10 sec. 45% chance to apply Deathmark when applying any other debuff on the active opponent. [NOOB SAIBOT] {{Friendship}}.	25% Damage boost and 10% Critical hit chance boost for each active Deathmark on the active opponent.	A
Abyssal Wraith's Shadow	Epic	Armor	All opponent team's characters need to collect 35% more Power to fill up each power bar. Apply Team Incurability on user's tag in. If the opponent tags out while the user is active, increase the duration of the effect by 10sec. [NOOB SAIBOT] If the opponent is affected by 3 Deathmarks at a time, they receive Death Brand till the character is dead. On tag-in, Noob Saibot force tags in the opponent affected by Death Brand with the least health left, dealing 35% damage of user's base attack. Death Brand additionaly decreases opponent's Power generation by 10%. [NOOB SAIBOT] {{Friendship}}	30% Chance to reflect any debuff. Team debuiffs are not affected. Each reflected debuff additionaly deals damage to the opponent.	S+
Augmentation: Neural Link	Epic	Accessory	30% Critical Hit chance boost. 15% Chance to reflect any debuff back to an opponent. Team debuffs are not affected. [TRIBORG] On tag-in or at the start of the match, any active Triborg in a team has a 30% chance to launch a support robot, which will follow an active opponent for 15 seconds. The robot deals additional damage on user's successful basic attacks, and increases Triborg's speed by 1% on Critical Attacks (Max 10%). If Triborg or the opponent tag-out, or by the end of the timer, the Robot returns to this Triborg, and heals them for 20% of damage dealt to the opponent. [TRIBORG] {{Brutality}}	Once per match when the character receives fatal damage gain Invulnerability for 10sec, apply Curse to the opponent and not react to opponent's Basic Combo Attacks. This effect is immune to Despair.	S+
Augmentation: Wrist Cannons	Rare	Weapon	25% Basic Attacks unblockable chance. 25% Chance to apply one of the following negative effects on Combo Enders for 10sec: Blind, Cripple, Slow and Shield Break. [TRIBORG] {{Brutality}}.	Special Attacks additionally deal 30% of damage to all tagged-out opponents that have any negative effects on them.	A
Bionic Eye	Rare	Weapon	15% Critical Hit chance boost. 5% Chance to apply Death Mark on Critical Basic Hits. [KANO] {{Friendship}}.	Special Attacks additionally deal 15% of damage to all tagged-out opponents. 15% Damage boost for each defeated opponent.	B
Bionic Skeleton	Epic	Armor	30% Chance to apply one of the following debuffs for 5sec on Combo Enders in sequence: Slow, Snare, Curse. 1% Special Attacks power cost reduction for each buff and debuff applied from this equipment. Max 30%. [KANO] 70% Chance to charce Bionic Overload on Combo Enders, up to 5 stacks. Activate it by using any Special Attack, activation consumes all stacks. Gain Dispel for 1 consumed stack, Speed for 3 stacks and Invulnerability for 5 stacks. [KANO] {{Friendship}}	Gain Power if an opponent has Slow. Gain Strenghten if an opponent has Snare. Gain Luck if an opponent has Curse. All listed buffs last 5sec.	A
Coldhearted Ninja's Cruelty	Rare	Accessory	20% Critical Hit chance boost. 50% Chance to apply Death Mark on successful Special Attack 2. [SUB-ZERO] {{Friendship}}.	Each next Critical Hit deals 10% more damage than the previous, stacks up to 4 times. Resets upon user's tag out.	B
Coldhearted Ninja's Dark Cryomancy	Epic	Armor	40% Chance to apply Curse when hitting a Frozen opponent. 40% unblockable attack chance reduction while the opponent is affected by Curse or Death Mark. [SUB-ZERO] 60% Chance to escape oppoent's Special Attack. He jumps back, leaving a frozen clone in his place. The clone shatters at a hit, dealing medium damage and leaving the opponent Frozen at the end. If the escape was successful, a 10sec cooldown initiates. [SUB-ZERO] {{Friendship}}.	Each successful Critical Hit reduces the damage received from the opponents by 2%. Max reduction - 40%. Resets upon user;s tag-out.	S+
Enigmatic Lantern	Rare	Accessory	25% Critical Hit chance boost. 50% Resistance to all debufs. [SHANG TSUNG] {{Friendship}}.	All opponents team's characters need to collect 30% more Power to fill up each Power bar.	S+
Enigmatic Well of Souls	Epic	Weapon	30% Basic Attacks unblockable chance while the character is not affected by any debuff. 50% Chance to apply Curse on Combo Ender for 20sec. [SHANG TSUNG] On tag-in Shang Tsung invokes the Well of Souls to the opponent. It applies a random debuff once in 20sec. The Well of Souls disappears on the opponent's tag-out. [SHANG TSUNG] {{Friendship}}.	After 25 successful Critical Attacks,  Power Drain applies to the opponent.	S
