character	description
Lizard Baraka	Lizard Baraka doesn't react to opponent's Basic Combo attacks for 15 seconds after tag-in. In a fight, he passively generates power over time and receives 2% Damage boost each time he hits the opponent with an additional 1% Damage boost if the hit was critical. On tag-out Lizard Baraka loses Damage boost and gains Regeneration for 10 seconds. Active opponent's healing is reduced by 25% for each Lizard character in a team. Outworld teammates have 25% Critical hit Chance Boost.
Scourge Baraka	For each Outworld character on his team, Baraka performs an additional Combo Ender attack which applies a bleed DOT with increased duration. Baraka's bleed DOTs can stack.
Dragon Breath Bo' Rai Cho	Combo enders and critical hits have a 50% Chance to inflict additional damage on one of the tagged-out opponents. +25% critical hit chance for all Martial Artists.
Covert Ops Cassie Cage	All Spec Ops teammates have a 25% chance of unblockable attacks.
Kombat Cup Cassie Cage	On tag-in, Kombat Cup Cassie Cage brands an active opponent as an Outsider for 20 sec. Any attack against the Outsider is unblockable with 50% chance. When an Outsider tries to tag-out, Cassie's drone deals 30% damage to their current health. The drone doesn't deal damage to Bosses. All Kombat Cup Characters on the team are immune to Cripple.
Standard Cassie Cage	+50% health if teamed with Johnny Cage, +50% attack if teamed with Sonya Blade.
Strike Force Cassie Cage	Each time Cassie tags-in, she drains 1 bar of power from the enemy team, as well as slowing the current opponent for 4-16 seconds. Strike Force teammates receive +15-25% more health and attack. On tag-in, Strike Force teammates are immune to lethal and critical hits for 5-7 seconds.
Undercover Cassie Cage	+20% to all damage vs. Netherrealm and Outworld.
Standard D'Vorah	Spikes damage opponents who use basic attacks. Immune to poison and bleed.
Swarm Queen D'Vorah	D'Vorah's Vortex Swarm (Special Attack 2) can inflict multiple effects on the opponent. Immune to poison.
Venomous D'Vorah	D'Vorah's basic attacks do +100% damage per negative effect on the opponent. D'Vorah's Poison can stack 2 times.
Wretch D'Vorah	When D'Vorah defeats an opponent, she applies a low/medium/high damage, infinite poison DOT to the opposing team. Her teammates do +10-30% critical damage against enemies affected by poison.
Klassic Ermac	Opponents start the fight with Soul Siphon DOT, that takes 10% of their health and prevents recovery over 30 seconds (even if Ermac is tagged-out or defeated). Soul Siphon DOT is not affected by any modifiers or resistances. When Ermac is defeated (and is not the last one on his team) he explodes dealing massive damage to an active opponent.
Master of Souls Ermac	Starts with +1 bar of power for each Outworld teammate.
Pharaoh Ermac	For every Character that is defeated, and for each opponent that resurrects, your team takes less damage and gains increasing critical hit chance. These effects stack.
Spectral Ermac	When a teammate is defeated, gain 50% of their attack and toughness. Max once per match.
Standard Ermac	When a teammate is defeated, gain 40% of their attack and toughness. Max once per match.
